x,y,z,status
450.0,50.0,50.0,OK
450.0,100.0,50.0,OK
450.0,150.0,50.0,OK
450.0,200.0,50.0,OK
450.0,250.0,50.0,OK
450.0,300.0,50.0,OK
450.0,350.0,50.0,OK
450.0,400.0,50.0,BLOCKED
450.0,450.0,50.0,BLOCKED
450.0,500.0,50.0,BLOCKED
450.0,550.0,50.0,NO_REACH
450.0,600.0,50.0,NO_REACH
500.0,-150.0,50.0,BLOCKED
500.0,-100.0,50.0,BLOCKED
500.0,-50.0,50.0,BLOCKED
500.0,0.0,50.0,BLOCKED
500.0,50.0,50.0,BLOCKED
500.0,100.0,50.0,BLOCKED
500.0,150.0,50.0,BLOCKED
500.0,200.0,50.0,BLOCKED
500.0,250.0,50.0,BLOCKED
500.0,300.0,50.0,BLOCKED
500.0,350.0,50.0,BLOCKED
500.0,400.0,50.0,BLOCKED
500.0,450.0,50.0,BLOCKED
500.0,500.0,50.0,NO_REACH
500.0,550.0,50.0,NO_REACH
500.0,600.0,50.0,NO_REACH
550.0,-150.0,50.0,BLOCKED
550.0,-100.0,50.0,BLOCKED
550.0,-50.0,50.0,BLOCKED
550.0,0.0,50.0,BLOCKED
550.0,50.0,50.0,BLOCKED
550.0,100.0,50.0,BLOCKED
550.0,150.0,50.0,BLOCKED
550.0,200.0,50.0,BLOCKED
550.0,250.0,50.0,BLOCKED
550.0,300.0,50.0,BLOCKED
550.0,350.0,50.0,BLOCKED
550.0,400.0,50.0,BLOCKED
550.0,450.0,50.0,NO_REACH
550.0,500.0,50.0,NO_REACH
550.0,550.0,50.0,NO_REACH
550.0,600.0,50.0,NO_REACH
600.0,-150.0,50.0,NO_REACH
600.0,-100.0,50.0,BLOCKED
600.0,-50.0,50.0,BLOCKED
600.0,0.0,50.0,BLOCKED
600.0,50.0,50.0,BLOCKED
600.0,100.0,50.0,BLOCKED
600.0,150.0,50.0,BLOCKED
600.0,200.0,50.0,BLOCKED
600.0,250.0,50.0,BLOCKED
600.0,300.0,50.0,BLOCKED
600.0,350.0,50.0,BLOCKED
600.0,400.0,50.0,NO_REACH
600.0,450.0,50.0,NO_REACH
600.0,500.0,50.0,NO_REACH
600.0,550.0,50.0,NO_REACH
600.0,600.0,50.0,NO_REACH
-50.0,-150.0,100.0,BLOCKED
-50.0,-100.0,100.0,BLOCKED
-50.0,-50.0,100.0,BLOCKED
-50.0,0.0,100.0,NO_REACH
-50.0,50.0,100.0,BLOCKED
-50.0,100.0,100.0,BLOCKED
-50.0,150.0,100.0,BLOCKED
-50.0,200.0,100.0,BLOCKED
-50.0,250.0,100.0,BLOCKED
-50.0,300.0,100.0,BLOCKED
-50.0,350.0,100.0,BLOCKED
-50.0,400.0,100.0,BLOCKED
-50.0,450.0,100.0,BLOCKED
-50.0,500.0,100.0,NO_REACH
-50.0,550.0,100.0,NO_REACH
-50.0,600.0,100.0,NO_REACH
0.0,-150.0,100.0,BLOCKED
0.0,-100.0,100.0,BLOCKED
0.0,-50.0,100.0,BLOCKED
0.0,0.0,100.0,BLOCKED
0.0,50.0,100.0,BLOCKED
0.0,100.0,100.0,BLOCKED
0.0,150.0,100.0,BLOCKED
0.0,200.0,100.0,BLOCKED
0.0,250.0,100.0,BLOCKED
0.0,300.0,100.0,BLOCKED
0.0,350.0,100.0,BLOCKED
0.0,400.0,100.0,BLOCKED
0.0,450.0,100.0,NO_REACH
0.0,500.0,100.0,NO_REACH
0.0,550.0,100.0,NO_REACH
0.0,600.0,100.0,NO_REACH
50.0,-150.0,100.0,BLOCKED
50.0,-100.0,100.0,BLOCKED
50.0,-50.0,100.0,BLOCKED
50.0,0.0,100.0,BLOCKED
50.0,50.0,100.0,BLOCKED
50.0,100.0,100.0,BLOCKED
50.0,150.0,100.0,BLOCKED
50.0,200.0,100.0,BLOCKED
50.0,250.0,100.0,BLOCKED
50.0,300.0,100.0,BLOCKED
50.0,350.0,100.0,BLOCKED
50.0,400.0,100.0,BLOCKED
50.0,450.0,100.0,BLOCKED
50.0,500.0,100.0,NO_REACH
50.0,550.0,100.0,NO_REACH
50.0,600.0,100.0,NO_REACH
100.0,-150.0,100.0,BLOCKED
100.0,-100.0,100.0,BLOCKED
100.0,-50.0,100.0,BLOCKED
100.0,0.0,100.0,BLOCKED
100.0,50.0,100.0,BLOCKED
100.0,100.0,100.0,BLOCKED
100.0,150.0,100.0,BLOCKED
100.0,200.0,100.0,BLOCKED
100.0,250.0,100.0,BLOCKED
100.0,300.0,100.0,BLOCKED
100.0,350.0,100.0,BLOCKED
100.0,400.0,100.0,BLOCKED
100.0,450.0,100.0,BLOCKED
100.0,500.0,100.0,BLOCKED
100.0,550.0,100.0,NO_REACH
100.0,600.0,100.0,NO_REACH
150.0,-150.0,100.0,BLOCKED
150.0,-100.0,100.0,BLOCKED
150.0,-50.0,100.0,BLOCKED
150.0,0.0,100.0,BLOCKED
150.0,50.0,100.0,BLOCKED
150.0,100.0,100.0,BLOCKED
150.0,150.0,100.0,BLOCKED
150.0,200.0,100.0,BLOCKED
150.0,250.0,100.0,BLOCKED
150.0,300.0,100.0,BLOCKED
150.0,350.0,100.0,BLOCKED
150.0,400.0,100.0,BLOCKED
150.0,450.0,100.0,BLOCKED
150.0,500.0,100.0,BLOCKED
150.0,550.0,100.0,BLOCKED
150.0,600.0,100.0,NO_REACH
200.0,-150.0,100.0,BLOCKED
200.0,-100.0,100.0,BLOCKED
200.0,-50.0,100.0,BLOCKED
200.0,0.0,100.0,BLOCKED
200.0,50.0,100.0,OK
200.0,100.0,100.0,OK
200.0,150.0,100.0,OK
200.0,200.0,100.0,OK
200.0,250.0,100.0,OK
200.0,300.0,100.0,OK
200.0,350.0,100.0,OK
200.0,400.0,100.0,BLOCKED
200.0,450.0,100.0,BLOCKED
200.0,500.0,100.0,BLOCKED
200.0,550.0,100.0,BLOCKED
200.0,600.0,100.0,NO_REACH
250.0,-150.0,100.0,BLOCKED
250.0,-100.0,100.0,BLOCKED
250.0,-50.0,100.0,BLOCKED
250.0,0.0,100.0,BLOCKED
250.0,50.0,100.0,OK
250.0,100.0,100.0,OK
250.0,150.0,100.0,OK
250.0,200.0,100.0,OK
250.0,250.0,100.0,OK
250.0,300.0,100.0,OK
250.0,350.0,100.0,OK
250.0,400.0,100.0,BLOCKED
250.0,450.0,100.0,BLOCKED
250.0,500.0,100.0,BLOCKED
250.0,550.0,100.0,BLOCKED
250.0,600.0,100.0,BLOCKED
300.0,-150.0,100.0,BLOCKED
300.0,-100.0,100.0,BLOCKED
300.0,-50.0,100.0,BLOCKED
300.0,0.0,100.0,BLOCKED
300.0,50.0,100.0,OK
300.0,100.0,100.0,OK
300.0,150.0,100.0,OK
300.0,200.0,100.0,OK
300.0,250.0,100.0,OK
300.0,300.0,100.0,OK
300.0,350.0,100.0,OK
300.0,400.0,100.0,BLOCKED
300.0,450.0,100.0,BLOCKED
300.0,500.0,100.0,BLOCKED
300.0,550.0,100.0,BLOCKED
300.0,600.0,100.0,BLOCKED
350.0,-150.0,100.0,BLOCKED
350.0,-100.0,100.0,BLOCKED
350.0,-50.0,100.0,BLOCKED
350.0,0.0,100.0,BLOCKED
350.0,50.0,100.0,OK
350.0,100.0,100.0,OK
350.0,150.0,100.0,OK
350.0,200.0,100.0,OK
350.0,250.0,100.0,OK
350.0,300.0,100.0,OK
350.0,350.0,100.0,OK
350.0,400.0,100.0,BLOCKED
350.0,450.0,100.0,BLOCKED
350.0,500.0,100.0,BLOCKED
350.0,550.0,100.0,BLOCKED
350.0,600.0,100.0,BLOCKED
400.0,-150.0,100.0,BLOCKED
400.0,-100.0,100.0,BLOCKED
400.0,-50.0,100.0,BLOCKED
400.0,0.0,100.0,BLOCKED
400.0,50.0,100.0,OK
400.0,100.0,100.0,OK
400.0,150.0,100.0,OK
400.0,200.0,100.0,OK
400.0,250.0,100.0,OK
400.0,300.0,100.0,OK
400.0,350.0,100.0,OK
400.0,400.0,100.0,BLOCKED
400.0,450.0,100.0,BLOCKED
400.0,500.0,100.0,BLOCKED
400.0,550.0,100.0,BLOCKED
400.0,600.0,100.0,NO_REACH
450.0,-150.0,100.0,BLOCKED
450.0,-100.0,100.0,BLOCKED
450.0,-50.0,100.0,BLOCKED
450.0,0.0,100.0,BLOCKED
450.0,50.0,100.0,OK
450.0,100.0,100.0,OK
450.0,150.0,100.0,OK
450.0,200.0,100.0,OK
450.0,250.0,100.0,OK
450.0,300.0,100.0,OK
450.0,350.0,100.0,OK
450.0,400.0,100.0,BLOCKED
450.0,450.0,100.0,BLOCKED
450.0,500.0,100.0,BLOCKED
450.0,550.0,100.0,BLOCKED
450.0,600.0,100.0,NO_REACH
500.0,-150.0,100.0,BLOCKED
500.0,-100.0,100.0,BLOCKED
500.0,-50.0,100.0,BLOCKED
500.0,0.0,100.0,BLOCKED
500.0,50.0,100.0,BLOCKED
500.0,100.0,100.0,BLOCKED
500.0,150.0,100.0,BLOCKED
500.0,200.0,100.0,BLOCKED
500.0,250.0,100.0,BLOCKED
500.0,300.0,100.0,BLOCKED
500.0,350.0,100.0,BLOCKED
500.0,400.0,100.0,BLOCKED
500.0,450.0,100.0,BLOCKED
500.0,500.0,100.0,BLOCKED
500.0,550.0,100.0,NO_REACH
500.0,600.0,100.0,NO_REACH
550.0,-150.0,100.0,BLOCKED
550.0,-100.0,100.0,BLOCKED
550.0,-50.0,100.0,BLOCKED
550.0,0.0,100.0,BLOCKED
550.0,50.0,100.0,BLOCKED
550.0,100.0,100.0,BLOCKED
550.0,150.0,100.0,BLOCKED
550.0,200.0,100.0,BLOCKED
550.0,250.0,100.0,BLOCKED
550.0,300.0,100.0,BLOCKED
550.0,350.0,100.0,BLOCKED
550.0,400.0,100.0,BLOCKED
550.0,450.0,100.0,BLOCKED
550.0,500.0,100.0,NO_REACH
550.0,550.0,100.0,NO_REACH
550.0,600.0,100.0,NO_REACH
600.0,-150.0,100.0,BLOCKED
600.0,-100.0,100.0,BLOCKED
600.0,-50.0,100.0,BLOCKED
600.0,0.0,100.0,BLOCKED
600.0,50.0,100.0,BLOCKED
600.0,100.0,100.0,BLOCKED
600.0,150.0,100.0,BLOCKED
600.0,200.0,100.0,BLOCKED
600.0,250.0,100.0,BLOCKED
600.0,300.0,100.0,BLOCKED
600.0,350.0,100.0,BLOCKED
600.0,400.0,100.0,NO_REACH
600.0,450.0,100.0,NO_REACH
600.0,500.0,100.0,NO_REACH
600.0,550.0,100.0,NO_REACH
600.0,600.0,100.0,NO_REACH
-50.0,-150.0,150.0,BLOCKED
-50.0,-100.0,150.0,BLOCKED
-50.0,-50.0,150.0,BLOCKED
-50.0,0.0,150.0,NO_REACH
-50.0,50.0,150.0,NO_REACH
-50.0,100.0,150.0,BLOCKED
-50.0,150.0,150.0,BLOCKED
-50.0,200.0,150.0,BLOCKED
-50.0,250.0,150.0,BLOCKED
-50.0,300.0,150.0,BLOCKED
-50.0,350.0,150.0,BLOCKED
-50.0,400.0,150.0,BLOCKED
-50.0,450.0,150.0,BLOCKED
-50.0,500.0,150.0,BLOCKED
-50.0,550.0,150.0,NO_REACH
-50.0,600.0,150.0,NO_REACH
0.0,-150.0,150.0,BLOCKED
0.0,-100.0,150.0,BLOCKED
0.0,-50.0,150.0,BLOCKED
0.0,0.0,150.0,NO_REACH
0.0,50.0,150.0,NO_REACH
0.0,100.0,150.0,BLOCKED
0.0,150.0,150.0,BLOCKED
0.0,200.0,150.0,BLOCKED
0.0,250.0,150.0,BLOCKED
0.0,300.0,150.0,BLOCKED
0.0,350.0,150.0,BLOCKED
0.0,400.0,150.0,BLOCKED
0.0,450.0,150.0,NO_REACH
0.0,500.0,150.0,NO_REACH
0.0,550.0,150.0,NO_REACH
0.0,600.0,150.0,NO_REACH
50.0,-150.0,150.0,BLOCKED
50.0,-100.0,150.0,BLOCKED
50.0,-50.0,150.0,BLOCKED
50.0,0.0,150.0,BLOCKED
50.0,50.0,150.0,BLOCKED
50.0,100.0,150.0,BLOCKED
50.0,150.0,150.0,BLOCKED
50.0,200.0,150.0,BLOCKED
50.0,250.0,150.0,BLOCKED
50.0,300.0,150.0,BLOCKED
50.0,350.0,150.0,BLOCKED
50.0,400.0,150.0,BLOCKED
50.0,450.0,150.0,BLOCKED
50.0,500.0,150.0,NO_REACH
50.0,550.0,150.0,NO_REACH
50.0,600.0,150.0,NO_REACH
100.0,-150.0,150.0,BLOCKED
100.0,-100.0,150.0,BLOCKED
100.0,-50.0,150.0,BLOCKED
100.0,0.0,150.0,BLOCKED
100.0,50.0,150.0,BLOCKED
100.0,100.0,150.0,BLOCKED
100.0,150.0,150.0,BLOCKED
100.0,200.0,150.0,BLOCKED
100.0,250.0,150.0,BLOCKED
100.0,300.0,150.0,BLOCKED
100.0,350.0,150.0,BLOCKED
100.0,400.0,150.0,BLOCKED
100.0,450.0,150.0,BLOCKED
100.0,500.0,150.0,BLOCKED
100.0,550.0,150.0,NO_REACH
100.0,600.0,150.0,NO_REACH
150.0,-150.0,150.0,BLOCKED
150.0,-100.0,150.0,BLOCKED
150.0,-50.0,150.0,BLOCKED
150.0,0.0,150.0,BLOCKED
150.0,50.0,150.0,BLOCKED
150.0,100.0,150.0,BLOCKED
